grammar_token,translated_token
file,CompilationUnit
ENDMARKER,EndMarker
fstring,FormatString
str_;,SemiColon
simple_stmt,SimpleStatement
small_stmt,SmallStatement
compound_stmt,CompoundStatement
augassign,AugmentingAssignment
global_stmt,GlobalStatement
nonlocal_stmt,NonlocalStatement
yield_stmt,YieldStatement
assert_stmt,AssertStatement
del_stmt,DelStatement
nonlocal_stmt,NonLocalStatement
str_break,Break
str_continue,Continue
import_stmt,ImportStatement
if_stmt,IfStatement
elif_stmt,ElifStatement
str_elif,ElIf
while_stmt,WhileStatement
for_stmt,ForStatement
with_stmt,WithStatement
try_stmt,TryStatement
str_try,Try
str_pass,Pass
except_block,ExceptBlock
str_except,Except
str_as,As
finally_block,FinallyBlock
str_finally,Finally
return_stmt,ReturnStatement
str_return,Return
raise_stmt,RaiseStatement
str_raise,Raise
str_from,From
function_def,FunctionDefinition
function_def_raw,FunctionDefinitionRaw
str_def,Def
kwds,Keywords
str_class,Class
class_def,ClassDefinition
class_def_raw,ClassDefinitionRaw
lambdef,LambdaDefinition
str_lambda,Lambda
str_if,If
str_else,Else
str_or,Or
str_and,And
str_not,Not
str_in,In
str_is,Is
str_for,For
str_yield,Yield
noteq_bitwise_or,NeqBitwiseOr
simple_stmt,SimpleStatement
shift_expr,ShiftExpression
str_True,True
str_False,False
str_None,None
str___peg_parser__,PegParserAtom
str_...,Ellipsis
yield_expr,YieldExpression
listcomp,ListComprehension
genexp,GeneratorExpression
setcomp,SetComprehension
dict,Dictionary
dictcomp,DictionaryComprehension
double_starred_kvpairs,DoubleStarredKeyValuePairs
double_starred_kvpair,DoubleStarredKeyValuePair
kvpair,KeyValuePair
kwargs,KwArgs
kwarg_or_starred,KwArgOrStarred
kwarg_or_double_starred,KwArgOrDoubleStarred

isnot_bitwise_or,IsNotBitwiseOr
notin_bitwise_or,NotInBitwiseOr

str_:,Colon
str_(,OpenBrackets
str_),CloseBrackets
str_->,RightArrow
str_/,ForwardSlash
str_,,Comma
str_*,Star
str_=,Equals
str_@,At
str_:=,Taurus
str_==,DoubleEquals
str_!=,Neq
str_<=,Leq
str_<,Lt
str_>=,Geq
str_>,Gt
str_|,Pipe
str_^,Caret
str_&,Ampersand
str_<<,DoubleAngleLeft
str_>>,DoubleAngleRight
str_+,Plus
str_-,Minus
str_//,DoubleForwardSlash
str_%,Percent
str_~,Tilde
str_**,DoubleStar
str_.,Dot
str_[,OpenSqBrackets
str_],CloseSqBrackets
str_{,OpenCurlyBrackets
str_},CloseCurlyBrackets
str_+=,PlusEquals
str_-=,MinusEquals
str_@=,AtEquals
str_/=,DivEquals
str_%=,ModEquals
str_&=,AndEquals
str_|=,OrEquals
str_^=,XorEquals
str_<<=,LShiftEquals
str_>>=,RShiftEquals
str_**=,PowEquals
str_*=,TimesEquals
str_//=,FloorDivEquals
str_global,Global
str_nonlocal,NonLocal
str_assert,Assert
str_del,Del
str_import,Import
str_while,While
str_with,With
